iter	Passed	Remaining
342	8209	15724
343	8233	15701
344	8255	15674
345	8280	15651
346	8304	15627
347	8327	15602
348	8350	15576
349	8372	15549
350	8398	15529
351	8423	15507
352	8448	15485
353	8473	15463
354	8504	15451
355	8528	15428
356	8552	15403
357	8575	15379
358	8598	15353
359	8621	15327
360	8646	15305
361	8671	15283
362	8695	15259
363	8719	15235
364	8743	15210
365	8767	15187
366	8791	15162
367	8815	15138
368	8839	15115
369	8862	15089
370	8885	15064
371	8909	15040
372	8933	15016
373	8955	14989
374	8979	14965
375	9002	14941
376	9027	14918
377	9050	14891
378	9073	14866
379	9097	14842
380	9120	14817
381	9144	14793
382	9166	14767
383	9190	14742
384	9213	14718
385	9237	14693
386	9261	14669
387	9285	14646
388	9309	14621
389	9332	14597
390	9355	14572
391	9380	14549
392	9406	14528
393	9431	14505
394	9454	14481
395	9479	14458
396	9502	14433
397	9527	14411
398	9552	14388
399	9575	14363
400	9599	14338
401	9623	14315
402	9645	14288
